hero1,hero2
IRON FIST/DANIEL RAN,"SHIPPINSKY, MALIK"
"SHIPPINSKY, MALIK",DEATH STING/MIRANDA
JESTER/JONATHAN POWE,"PAGE, KAREN"
JESTER/JONATHAN POWE,COBRA/KLAUS VORHEES
JESTER/JONATHAN POWE,MISTER HYDE/CALVIN Z
JESTER/JONATHAN POWE,DAREDEVIL/MATT MURDO
JESTER/JONATHAN POWE,"NELSON, FRANKLIN FOG"
"NELSON, FRANKLIN FOG","PAGE, KAREN"
"NELSON, FRANKLIN FOG",COBRA/KLAUS VORHEES
"NELSON, FRANKLIN FOG",MISTER HYDE/CALVIN Z
"NELSON, FRANKLIN FOG",DAREDEVIL/MATT MURDO
DAREDEVIL/MATT MURDO,"PAGE, KAREN"
DAREDEVIL/MATT MURDO,COBRA/KLAUS VORHEES
DAREDEVIL/MATT MURDO,MISTER HYDE/CALVIN Z
MISTER HYDE/CALVIN Z,"PAGE, KAREN"
MISTER HYDE/CALVIN Z,COBRA/KLAUS VORHEES
COBRA/KLAUS VORHEES,"PAGE, KAREN"
"DUGAN, TIMOTHY ALOYI","WOO, JIMMY"
"DUGAN, TIMOTHY ALOYI",IRON MAN/TONY STARK
"DUGAN, TIMOTHY ALOYI","JONES, GABE"
"JONES, GABE","WOO, JIMMY"
"JONES, GABE",IRON MAN/TONY STARK
IRON MAN/TONY STARK,"WOO, JIMMY"
"WOO, JIMMY","DUGAN, TIMOTHY ALOYI"
"WOO, JIMMY","FURY, COL. NICHOLAS"
"WOO, JIMMY","DUGAN, TIMOTHY ALOYI"
"DUGAN, TIMOTHY ALOYI","FURY, COL. NICHOLAS"
"NELSON, DEBBIE HARRI",DAREDEVIL/MATT MURDO
"NELSON, DEBBIE HARRI",CRIME-WAVE/HOLLIS
"NELSON, DEBBIE HARRI","NELSON, FRANKLIN FOG"
"NELSON, FRANKLIN FOG",DAREDEVIL/MATT MURDO
"NELSON, FRANKLIN FOG",CRIME-WAVE/HOLLIS
CRIME-WAVE/HOLLIS,DAREDEVIL/MATT MURDO
VOLSTAGG,VIZIER
VOLSTAGG,FANDRAL [ASGARDIAN]
VOLSTAGG,LEIR
VOLSTAGG,SIF
VOLSTAGG,CABER
VOLSTAGG,HOGUN [ASGARDIAN]
VOLSTAGG,ODIN [ASGARDIAN]
VOLSTAGG,HEIMDALL [ASGARDIAN]
VOLSTAGG,DAGDA
DAGDA,VIZIER
DAGDA,FANDRAL [ASGARDIAN]
DAGDA,LEIR
DAGDA,SIF
DAGDA,CABER
DAGDA,HOGUN [ASGARDIAN]
DAGDA,ODIN [ASGARDIAN]
DAGDA,HEIMDALL [ASGARDIAN]
HEIMDALL [ASGARDIAN],VIZIER
HEIMDALL [ASGARDIAN],FANDRAL [ASGARDIAN]
HEIMDALL [ASGARDIAN],LEIR
HEIMDALL [ASGARDIAN],SIF
HEIMDALL [ASGARDIAN],CABER
HEIMDALL [ASGARDIAN],HOGUN [ASGARDIAN]
HEIMDALL [ASGARDIAN],ODIN [ASGARDIAN]
ODIN [ASGARDIAN],VIZIER
ODIN [ASGARDIAN],FANDRAL [ASGARDIAN]
ODIN [ASGARDIAN],LEIR
ODIN [ASGARDIAN],SIF
ODIN [ASGARDIAN],CABER
ODIN [ASGARDIAN],HOGUN [ASGARDIAN]
HOGUN [ASGARDIAN],VIZIER
HOGUN [ASGARDIAN],FANDRAL [ASGARDIAN]
HOGUN [ASGARDIAN],LEIR
HOGUN [ASGARDIAN],SIF
HOGUN [ASGARDIAN],CABER
CABER,VIZIER
CABER,FANDRAL [ASGARDIAN]
CABER,LEIR
CABER,SIF
SIF,VIZIER
SIF,FANDRAL [ASGARDIAN]
SIF,LEIR
LEIR,VIZIER
LEIR,FANDRAL [ASGARDIAN]
FANDRAL [ASGARDIAN],VIZIER
"WOO, JIMMY","DUGAN, TIMOTHY ALOYI"
"WOO, JIMMY","JONES, GABE"
"JONES, GABE","DUGAN, TIMOTHY ALOYI"
DEMONICUS/DR. DOUGLA,"JONES, GABE"
DEMONICUS/DR. DOUGLA,"DUGAN, TIMOTHY ALOYI"
"DUGAN, TIMOTHY ALOYI","JONES, GABE"
"DUGAN, TIMOTHY ALOYI","JONES, GABE"
"DUGAN, TIMOTHY ALOYI","WOO, JIMMY"
"DUGAN, TIMOTHY ALOYI",DEMONICUS/DR. DOUGLA
DEMONICUS/DR. DOUGLA,"JONES, GABE"
DEMONICUS/DR. DOUGLA,"WOO, JIMMY"
"WOO, JIMMY","JONES, GABE"
"PARKER, MAY","PARKER, BEN"
"PARKER, MAY",NIGHTMARE/EDVARD HAB
NIGHTMARE/EDVARD HAB,"PARKER, BEN"
"SNOW, CHARLIE",HOBGOBLIN V/JASON PH
"SNOW, CHARLIE","WATSON-PARKER, MARY"
"SNOW, CHARLIE",GAUNT/MENDEL STROMM
"SNOW, CHARLIE","URICH, BEN"
"SNOW, CHARLIE",ANDROS
"SNOW, CHARLIE",LASHER/
"SNOW, CHARLIE","ELLIS, KEN"
"SNOW, CHARLIE","ROBERTSON, JOE"
"SNOW, CHARLIE","JAMESON, J. JONAH"
"SNOW, CHARLIE","MACINTOSH, ANN"
"SNOW, CHARLIE","YIN, ANGELA"
"SNOW, CHARLIE","LEWIS, DEVON"
"SNOW, CHARLIE",BUZZ
"SNOW, CHARLIE",BRAMER
"SNOW, CHARLIE","LEWIS, SHIRLEY WASHI"
"SNOW, CHARLIE",SPIDER-MAN CLONE/BEN
"SNOW, CHARLIE","LEEDS, BETTY BRANT"
"SNOW, CHARLIE","GRANT, GLORIA GLORY"
"SNOW, CHARLIE",NARDI
NARDI,HOBGOBLIN V/JASON PH
NARDI,"WATSON-PARKER, MARY"
NARDI,GAUNT/MENDEL STROMM
NARDI,"URICH, BEN"
NARDI,ANDROS
NARDI,LASHER/
NARDI,"ELLIS, KEN"
NARDI,"ROBERTSON, JOE"
NARDI,"JAMESON, J. JONAH"
NARDI,"MACINTOSH, ANN"
NARDI,"YIN, ANGELA"
NARDI,"LEWIS, DEVON"
NARDI,BUZZ
NARDI,BRAMER
NARDI,"LEWIS, SHIRLEY WASHI"
NARDI,SPIDER-MAN CLONE/BEN
NARDI,"LEEDS, BETTY BRANT"
NARDI,"GRANT, GLORIA GLORY"
"GRANT, GLORIA GLORY",HOBGOBLIN V/JASON PH
"GRANT, GLORIA GLORY","WATSON-PARKER, MARY"
"GRANT, GLORIA GLORY",GAUNT/MENDEL STROMM
"GRANT, GLORIA GLORY","URICH, BEN"
"GRANT, GLORIA GLORY",ANDROS
"GRANT, GLORIA GLORY",LASHER/
"GRANT, GLORIA GLORY","ELLIS, KEN"
"GRANT, GLORIA GLORY","ROBERTSON, JOE"
"GRANT, GLORIA GLORY","JAMESON, J. JONAH"
"GRANT, GLORIA GLORY","MACINTOSH, ANN"
"GRANT, GLORIA GLORY","YIN, ANGELA"
"GRANT, GLORIA GLORY","LEWIS, DEVON"
"GRANT, GLORIA GLORY",BUZZ
"GRANT, GLORIA GLORY",BRAMER
"GRANT, GLORIA GLORY","LEWIS, SHIRLEY WASHI"
"GRANT, GLORIA GLORY",SPIDER-MAN CLONE/BEN
"GRANT, GLORIA GLORY","LEEDS, BETTY BRANT"
"LEEDS, BETTY BRANT",HOBGOBLIN V/JASON PH
"LEEDS, BETTY BRANT","WATSON-PARKER, MARY"
"LEEDS, BETTY BRANT",GAUNT/MENDEL STROMM
"LEEDS, BETTY BRANT","URICH, BEN"
"LEEDS, BETTY BRANT",ANDROS
"LEEDS, BETTY BRANT",LASHER/
"LEEDS, BETTY BRANT","ELLIS, KEN"
"LEEDS, BETTY BRANT","ROBERTSON, JOE"
"LEEDS, BETTY BRANT","JAMESON, J. JONAH"
"LEEDS, BETTY BRANT","MACINTOSH, ANN"
"LEEDS, BETTY BRANT","YIN, ANGELA"
"LEEDS, BETTY BRANT","LEWIS, DEVON"
"LEEDS, BETTY BRANT",BUZZ
"LEEDS, BETTY BRANT",BRAMER
"LEEDS, BETTY BRANT","LEWIS, SHIRLEY WASHI"
"LEEDS, BETTY BRANT",SPIDER-MAN CLONE/BEN
SPIDER-MAN CLONE/BEN,HOBGOBLIN V/JASON PH
SPIDER-MAN CLONE/BEN,"WATSON-PARKER, MARY"
SPIDER-MAN CLONE/BEN,GAUNT/MENDEL STROMM
SPIDER-MAN CLONE/BEN,"URICH, BEN"
SPIDER-MAN CLONE/BEN,ANDROS
SPIDER-MAN CLONE/BEN,LASHER/
SPIDER-MAN CLONE/BEN,"ELLIS, KEN"
SPIDER-MAN CLONE/BEN,"ROBERTSON, JOE"
SPIDER-MAN CLONE/BEN,"JAMESON, J. JONAH"
SPIDER-MAN CLONE/BEN,"MACINTOSH, ANN"
SPIDER-MAN CLONE/BEN,"YIN, ANGELA"
SPIDER-MAN CLONE/BEN,"LEWIS, DEVON"
SPIDER-MAN CLONE/BEN,BUZZ
SPIDER-MAN CLONE/BEN,BRAMER
SPIDER-MAN CLONE/BEN,"LEWIS, SHIRLEY WASHI"
"LEWIS, SHIRLEY WASHI",HOBGOBLIN V/JASON PH
"LEWIS, SHIRLEY WASHI","WATSON-PARKER, MARY"
"LEWIS, SHIRLEY WASHI",GAUNT/MENDEL STROMM
"LEWIS, SHIRLEY WASHI","URICH, BEN"
"LEWIS, SHIRLEY WASHI",ANDROS
"LEWIS, SHIRLEY WASHI",LASHER/
"LEWIS, SHIRLEY WASHI","ELLIS, KEN"
"LEWIS, SHIRLEY WASHI","ROBERTSON, JOE"
"LEWIS, SHIRLEY WASHI","JAMESON, J. JONAH"
"LEWIS, SHIRLEY WASHI","MACINTOSH, ANN"
"LEWIS, SHIRLEY WASHI","YIN, ANGELA"
"LEWIS, SHIRLEY WASHI","LEWIS, DEVON"
"LEWIS, SHIRLEY WASHI",BUZZ
"LEWIS, SHIRLEY WASHI",BRAMER
BRAMER,HOBGOBLIN V/JASON PH
BRAMER,"WATSON-PARKER, MARY"
BRAMER,GAUNT/MENDEL STROMM
BRAMER,"URICH, BEN"
BRAMER,ANDROS
BRAMER,LASHER/
BRAMER,"ELLIS, KEN"
BRAMER,"ROBERTSON, JOE"
BRAMER,"JAMESON, J. JONAH"
BRAMER,"MACINTOSH, ANN"
BRAMER,"YIN, ANGELA"
BRAMER,"LEWIS, DEVON"
BRAMER,BUZZ
BUZZ,HOBGOBLIN V/JASON PH
BUZZ,"WATSON-PARKER, MARY"
BUZZ,GAUNT/MENDEL STROMM
BUZZ,"URICH, BEN"
BUZZ,ANDROS
BUZZ,LASHER/
BUZZ,"ELLIS, KEN"
BUZZ,"ROBERTSON, JOE"
BUZZ,"JAMESON, J. JONAH"
BUZZ,"MACINTOSH, ANN"
BUZZ,"YIN, ANGELA"
BUZZ,"LEWIS, DEVON"
"LEWIS, DEVON",HOBGOBLIN V/JASON PH
"LEWIS, DEVON","WATSON-PARKER, MARY"
"LEWIS, DEVON",GAUNT/MENDEL STROMM
"LEWIS, DEVON","URICH, BEN"
"LEWIS, DEVON",ANDROS
"LEWIS, DEVON",LASHER/
"LEWIS, DEVON","ELLIS, KEN"
"LEWIS, DEVON","ROBERTSON, JOE"
"LEWIS, DEVON","JAMESON, J. JONAH"
"LEWIS, DEVON","MACINTOSH, ANN"
"LEWIS, DEVON","YIN, ANGELA"
"YIN, ANGELA",HOBGOBLIN V/JASON PH
"YIN, ANGELA","WATSON-PARKER, MARY"
"YIN, ANGELA",GAUNT/MENDEL STROMM
"YIN, ANGELA","URICH, BEN"
"YIN, ANGELA",ANDROS
"YIN, ANGELA",LASHER/
"YIN, ANGELA","ELLIS, KEN"
"YIN, ANGELA","ROBERTSON, JOE"
"YIN, ANGELA","JAMESON, J. JONAH"
"YIN, ANGELA","MACINTOSH, ANN"
"MACINTOSH, ANN",HOBGOBLIN V/JASON PH
"MACINTOSH, ANN","WATSON-PARKER, MARY"
"MACINTOSH, ANN",GAUNT/MENDEL STROMM
"MACINTOSH, ANN","URICH, BEN"
"MACINTOSH, ANN",ANDROS
"MACINTOSH, ANN",LASHER/
"MACINTOSH, ANN","ELLIS, KEN"
"MACINTOSH, ANN","ROBERTSON, JOE"
"MACINTOSH, ANN","JAMESON, J. JONAH"
"JAMESON, J. JONAH",HOBGOBLIN V/JASON PH
"JAMESON, J. JONAH","WATSON-PARKER, MARY"
"JAMESON, J. JONAH",GAUNT/MENDEL STROMM
"JAMESON, J. JONAH","URICH, BEN"
"JAMESON, J. JONAH",ANDROS
"JAMESON, J. JONAH",LASHER/
"JAMESON, J. JONAH","ELLIS, KEN"
"JAMESON, J. JONAH","ROBERTSON, JOE"
"ROBERTSON, JOE",HOBGOBLIN V/JASON PH
"ROBERTSON, JOE","WATSON-PARKER, MARY"
"ROBERTSON, JOE",GAUNT/MENDEL STROMM
"ROBERTSON, JOE","URICH, BEN"
"ROBERTSON, JOE",ANDROS
"ROBERTSON, JOE",LASHER/
"ROBERTSON, JOE","ELLIS, KEN"
"ELLIS, KEN",HOBGOBLIN V/JASON PH
"ELLIS, KEN","WATSON-PARKER, MARY"
"ELLIS, KEN",GAUNT/MENDEL STROMM
"ELLIS, KEN","URICH, BEN"
"ELLIS, KEN",ANDROS
"ELLIS, KEN",LASHER/
LASHER/,HOBGOBLIN V/JASON PH
LASHER/,"WATSON-PARKER, MARY"
LASHER/,GAUNT/MENDEL STROMM
LASHER/,"URICH, BEN"
LASHER/,ANDROS
ANDROS,HOBGOBLIN V/JASON PH
ANDROS,"WATSON-PARKER, MARY"
ANDROS,GAUNT/MENDEL STROMM
ANDROS,"URICH, BEN"
"URICH, BEN",HOBGOBLIN V/JASON PH
"URICH, BEN","WATSON-PARKER, MARY"
"URICH, BEN",GAUNT/MENDEL STROMM
GAUNT/MENDEL STROMM,HOBGOBLIN V/JASON PH
GAUNT/MENDEL STROMM,"WATSON-PARKER, MARY"
"WATSON-PARKER, MARY",HOBGOBLIN V/JASON PH
"CARRADINE, JESSICA J","LEWIS, DEVON"
"CARRADINE, JESSICA J",BRAMER
"CARRADINE, JESSICA J","WATSON-PARKER, MARY"
"CARRADINE, JESSICA J",LASHER/
"CARRADINE, JESSICA J","LEWIS, SHIRLEY WASHI"
"CARRADINE, JESSICA J",SPIDER-MAN CLONE/BEN
"CARRADINE, JESSICA J",HOBGOBLIN V/JASON PH
"CARRADINE, JESSICA J",NARDI
"CARRADINE, JESSICA J",ANDROS
"CARRADINE, JESSICA J","TRAINER, DR. SEWARD"
"TRAINER, DR. SEWARD","LEWIS, DEVON"
"TRAINER, DR. SEWARD",BRAMER
"TRAINER, DR. SEWARD","WATSON-PARKER, MARY"
"TRAINER, DR. SEWARD",LASHER/
"TRAINER, DR. SEWARD","LEWIS, SHIRLEY WASHI"
"TRAINER, DR. SEWARD",SPIDER-MAN CLONE/BEN
"TRAINER, DR. SEWARD",HOBGOBLIN V/JASON PH
"TRAINER, DR. SEWARD",NARDI
"TRAINER, DR. SEWARD",ANDROS
ANDROS,"LEWIS, DEVON"
ANDROS,BRAMER
ANDROS,"WATSON-PARKER, MARY"
ANDROS,LASHER/
ANDROS,"LEWIS, SHIRLEY WASHI"
ANDROS,SPIDER-MAN CLONE/BEN
ANDROS,HOBGOBLIN V/JASON PH
ANDROS,NARDI
NARDI,"LEWIS, DEVON"
NARDI,BRAMER
NARDI,"WATSON-PARKER, MARY"
NARDI,LASHER/
NARDI,"LEWIS, SHIRLEY WASHI"
NARDI,SPIDER-MAN CLONE/BEN
NARDI,HOBGOBLIN V/JASON PH
HOBGOBLIN V/JASON PH,"LEWIS, DEVON"
HOBGOBLIN V/JASON PH,BRAMER
HOBGOBLIN V/JASON PH,"WATSON-PARKER, MARY"
HOBGOBLIN V/JASON PH,LASHER/
HOBGOBLIN V/JASON PH,"LEWIS, SHIRLEY WASHI"
HOBGOBLIN V/JASON PH,SPIDER-MAN CLONE/BEN
SPIDER-MAN CLONE/BEN,"LEWIS, DEVON"
SPIDER-MAN CLONE/BEN,BRAMER
SPIDER-MAN CLONE/BEN,"WATSON-PARKER, MARY"
SPIDER-MAN CLONE/BEN,LASHER/
SPIDER-MAN CLONE/BEN,"LEWIS, SHIRLEY WASHI"
"LEWIS, SHIRLEY WASHI","LEWIS, DEVON"
"LEWIS, SHIRLEY WASHI",BRAMER
"LEWIS, SHIRLEY WASHI","WATSON-PARKER, MARY"
"LEWIS, SHIRLEY WASHI",LASHER/
LASHER/,"LEWIS, DEVON"
LASHER/,BRAMER
LASHER/,"WATSON-PARKER, MARY"
"WATSON-PARKER, MARY","LEWIS, DEVON"
"WATSON-PARKER, MARY",BRAMER
BRAMER,"LEWIS, DEVON"
"TRAINER, DR. SEWARD","WATSON-PARKER, MARY"
"TRAINER, DR. SEWARD",SPIDER-MAN CLONE/BEN
"TRAINER, DR. SEWARD",DR. OCTOPUS II/CAROL
DR. OCTOPUS II/CAROL,"WATSON-PARKER, MARY"
DR. OCTOPUS II/CAROL,SPIDER-MAN CLONE/BEN
SPIDER-MAN CLONE/BEN,"WATSON-PARKER, MARY"
VULTURE/ADRIAN TOOME,DR. OCTOPUS II/CAROL
VULTURE/ADRIAN TOOME,"TRAINER, DR. SEWARD"
VULTURE/ADRIAN TOOME,"WATSON-PARKER, MARY"
VULTURE/ADRIAN TOOME,SPIDER-MAN CLONE/BEN
SPIDER-MAN CLONE/BEN,DR. OCTOPUS II/CAROL
SPIDER-MAN CLONE/BEN,"TRAINER, DR. SEWARD"
SPIDER-MAN CLONE/BEN,"WATSON-PARKER, MARY"
"WATSON-PARKER, MARY",DR. OCTOPUS II/CAROL
"WATSON-PARKER, MARY","TRAINER, DR. SEWARD"
"TRAINER, DR. SEWARD",DR. OCTOPUS II/CAROL
EIGHTBALL,BUTCH
EIGHTBALL,DAREDEVIL/MATT MURDO
EIGHTBALL,DARLA
EIGHTBALL,RALF
RALF,BUTCH
RALF,DAREDEVIL/MATT MURDO
RALF,DARLA
DARLA,BUTCH
DARLA,DAREDEVIL/MATT MURDO
DAREDEVIL/MATT MURDO,BUTCH
SPIDER-MAN CLONE/BEN,"WATSON-PARKER, MARY"
SPIDER-MAN CLONE/BEN,"CARRADINE, JESSICA J"
SPIDER-MAN CLONE/BEN,CARNAGE/CLETUS KASAD
SPIDER-MAN CLONE/BEN,"JAMESON, COL. JOHN"
SPIDER-MAN CLONE/BEN,"KAFKA, DR. ASHLEY"
"KAFKA, DR. ASHLEY","WATSON-PARKER, MARY"
"KAFKA, DR. ASHLEY","CARRADINE, JESSICA J"
"KAFKA, DR. ASHLEY",CARNAGE/CLETUS KASAD
"KAFKA, DR. ASHLEY","JAMESON, COL. JOHN"
"JAMESON, COL. JOHN","WATSON-PARKER, MARY"
"JAMESON, COL. JOHN","CARRADINE, JESSICA J"
"JAMESON, COL. JOHN",CARNAGE/CLETUS KASAD
CARNAGE/CLETUS KASAD,"WATSON-PARKER, MARY"
CARNAGE/CLETUS KASAD,"CARRADINE, JESSICA J"
"CARRADINE, JESSICA J","WATSON-PARKER, MARY"
"URICH, BEN","ELLIS, KEN"
"URICH, BEN","WATSON-PARKER, MARY"
"URICH, BEN","ROBERTSON, JOE"
"URICH, BEN",MUSE/SHANNON FITZPAT
"URICH, BEN",KAINE
"URICH, BEN","JOHNSMEYER, JAMES"
"URICH, BEN","JAMESON, J. JONAH"
"URICH, BEN",SPIDER-MAN CLONE/BEN
"URICH, BEN","YIN, ANGELA"
"YIN, ANGELA","ELLIS, KEN"
"YIN, ANGELA","WATSON-PARKER, MARY"
"YIN, ANGELA","ROBERTSON, JOE"
"YIN, ANGELA",MUSE/SHANNON FITZPAT
"YIN, ANGELA",KAINE
"YIN, ANGELA","JOHNSMEYER, JAMES"
"YIN, ANGELA","JAMESON, J. JONAH"
"YIN, ANGELA",SPIDER-MAN CLONE/BEN
SPIDER-MAN CLONE/BEN,"ELLIS, KEN"
SPIDER-MAN CLONE/BEN,"WATSON-PARKER, MARY"
SPIDER-MAN CLONE/BEN,"ROBERTSON, JOE"
SPIDER-MAN CLONE/BEN,MUSE/SHANNON FITZPAT
SPIDER-MAN CLONE/BEN,KAINE
SPIDER-MAN CLONE/BEN,"JOHNSMEYER, JAMES"
SPIDER-MAN CLONE/BEN,"JAMESON, J. JONAH"
"JAMESON, J. JONAH","ELLIS, KEN"
"JAMESON, J. JONAH","WATSON-PARKER, MARY"
"JAMESON, J. JONAH","ROBERTSON, JOE"
"JAMESON, J. JONAH",MUSE/SHANNON FITZPAT
"JAMESON, J. JONAH",KAINE
"JAMESON, J. JONAH","JOHNSMEYER, JAMES"
"JOHNSMEYER, JAMES","ELLIS, KEN"
"JOHNSMEYER, JAMES","WATSON-PARKER, MARY"
"JOHNSMEYER, JAMES","ROBERTSON, JOE"
"JOHNSMEYER, JAMES",MUSE/SHANNON FITZPAT
"JOHNSMEYER, JAMES",KAINE
KAINE,"ELLIS, KEN"
KAINE,"WATSON-PARKER, MARY"
KAINE,"ROBERTSON, JOE"
KAINE,MUSE/SHANNON FITZPAT
MUSE/SHANNON FITZPAT,"ELLIS, KEN"
MUSE/SHANNON FITZPAT,"WATSON-PARKER, MARY"
MUSE/SHANNON FITZPAT,"ROBERTSON, JOE"
"ROBERTSON, JOE","ELLIS, KEN"
"ROBERTSON, JOE","WATSON-PARKER, MARY"
"WATSON-PARKER, MARY","ELLIS, KEN"
"LEWIS, SHIRLEY WASHI","CARRADINE, JESSICA J"
"LEWIS, SHIRLEY WASHI",SPIDER-MAN CLONE/BEN
"LEWIS, SHIRLEY WASHI",BUZZ
"LEWIS, SHIRLEY WASHI",MYSTERIO/QUENTIN BEC
"LEWIS, SHIRLEY WASHI","LEWIS, DEVON"
"LEWIS, DEVON","CARRADINE, JESSICA J"
"LEWIS, DEVON",SPIDER-MAN CLONE/BEN
"LEWIS, DEVON",BUZZ
"LEWIS, DEVON",MYSTERIO/QUENTIN BEC
MYSTERIO/QUENTIN BEC,"CARRADINE, JESSICA J"
MYSTERIO/QUENTIN BEC,SPIDER-MAN CLONE/BEN
MYSTERIO/QUENTIN BEC,BUZZ
BUZZ,"CARRADINE, JESSICA J"
BUZZ,SPIDER-MAN CLONE/BEN
SPIDER-MAN CLONE/BEN,"CARRADINE, JESSICA J"
SPIDER-MAN CLONE/BEN,POISON/CECILIA CARDI
SPIDER-MAN CLONE/BEN,EL TORO NEGRO/SERGIO
SPIDER-MAN CLONE/BEN,"LEWIS, SHIRLEY WASHI"
SPIDER-MAN CLONE/BEN,"SCOTT, PARIS"
SPIDER-MAN CLONE/BEN,MYSTERIO/QUENTIN BEC
SPIDER-MAN CLONE/BEN,"CARDINALE, CARLOS"
SPIDER-MAN CLONE/BEN,BUZZ
SPIDER-MAN CLONE/BEN,"LIPTON, TRENTON III"
SPIDER-MAN CLONE/BEN,"KARLSON, KAREN"
SPIDER-MAN CLONE/BEN,"LEWIS, DEVON"
"LEWIS, DEVON",POISON/CECILIA CARDI
"LEWIS, DEVON",EL TORO NEGRO/SERGIO
"LEWIS, DEVON","LEWIS, SHIRLEY WASHI"
"LEWIS, DEVON","SCOTT, PARIS"
"LEWIS, DEVON",MYSTERIO/QUENTIN BEC
"LEWIS, DEVON","CARDINALE, CARLOS"
"LEWIS, DEVON",BUZZ
"LEWIS, DEVON","LIPTON, TRENTON III"
"LEWIS, DEVON","KARLSON, KAREN"
"KARLSON, KAREN",POISON/CECILIA CARDI
"KARLSON, KAREN",EL TORO NEGRO/SERGIO
"KARLSON, KAREN","LEWIS, SHIRLEY WASHI"
"KARLSON, KAREN","SCOTT, PARIS"
"KARLSON, KAREN",MYSTERIO/QUENTIN BEC
"KARLSON, KAREN","CARDINALE, CARLOS"
"KARLSON, KAREN",BUZZ
"KARLSON, KAREN","LIPTON, TRENTON III"
"LIPTON, TRENTON III",POISON/CECILIA CARDI
"LIPTON, TRENTON III",EL TORO NEGRO/SERGIO
"LIPTON, TRENTON III","LEWIS, SHIRLEY WASHI"
"LIPTON, TRENTON III","SCOTT, PARIS"
"LIPTON, TRENTON III",MYSTERIO/QUENTIN BEC
"LIPTON, TRENTON III","CARDINALE, CARLOS"
"LIPTON, TRENTON III",BUZZ
BUZZ,POISON/CECILIA CARDI
BUZZ,EL TORO NEGRO/SERGIO
BUZZ,"LEWIS, SHIRLEY WASHI"
BUZZ,"SCOTT, PARIS"
BUZZ,MYSTERIO/QUENTIN BEC
BUZZ,"CARDINALE, CARLOS"
"CARDINALE, CARLOS",POISON/CECILIA CARDI
"CARDINALE, CARLOS",EL TORO NEGRO/SERGIO
"CARDINALE, CARLOS","LEWIS, SHIRLEY WASHI"
"CARDINALE, CARLOS","SCOTT, PARIS"
"CARDINALE, CARLOS",MYSTERIO/QUENTIN BEC
MYSTERIO/QUENTIN BEC,POISON/CECILIA CARDI
MYSTERIO/QUENTIN BEC,EL TORO NEGRO/SERGIO
MYSTERIO/QUENTIN BEC,"LEWIS, SHIRLEY WASHI"
MYSTERIO/QUENTIN BEC,"SCOTT, PARIS"
"SCOTT, PARIS",POISON/CECILIA CARDI
"SCOTT, PARIS",EL TORO NEGRO/SERGIO
"SCOTT, PARIS","LEWIS, SHIRLEY WASHI"
"LEWIS, SHIRLEY WASHI",POISON/CECILIA CARDI
"LEWIS, SHIRLEY WASHI",EL TORO NEGRO/SERGIO
EL TORO NEGRO/SERGIO,POISON/CECILIA CARDI
INVISIBLE WOMAN/SUE,MR. FANTASTIC/REED R
INVISIBLE WOMAN/SUE,HUMAN TORCH/JOHNNY S
HUMAN TORCH/JOHNNY S,MR. FANTASTIC/REED R
KA-ZAR/KEVIN PLUNDER,ZABU
KA-ZAR/KEVIN PLUNDER,KRAVEN THE HUNTER/SE
KRAVEN THE HUNTER/SE,ZABU
LOBO II,RED WOLF III/WILL TA
CARNAGE/CLETUS KASAD,"WATSON-PARKER, MARY"
CARNAGE/CLETUS KASAD,VENOM/EDDIE BROCK
VENOM/EDDIE BROCK,"WATSON-PARKER, MARY"
"MCHELE, JEREMY","WILSON, DUBOSE"
"MCHELE, JEREMY",SHANNA/SHANNA O'HARA
"MCHELE, JEREMY","HELLER, ERIC"
"HELLER, ERIC","WILSON, DUBOSE"
"HELLER, ERIC",SHANNA/SHANNA O'HARA
SHANNA/SHANNA O'HARA,"WILSON, DUBOSE"
"PINKWATER, ELLA",DAREDEVIL/MATT MURDO
HOWARD THE DUCK,DR. BONG
HOWARD THE DUCK,"SWITZLER, BEVERLY"
"SWITZLER, BEVERLY",DR. BONG
"BROWN, ABE","BYRD, NATHANIEL ALEX"
BLOODSHED/WYNDELL DI,"DICHINSON, RICKY"
BLOODSHED/WYNDELL DI,"BAZIN, PHILLIPPE"
"BAZIN, PHILLIPPE","DICHINSON, RICKY"
SILVERMANE/SILVIO MA,BLACK CAT/FELICIA HA
SILVERMANE/SILVIO MA,"WATSON-PARKER, MARY"
"WATSON-PARKER, MARY",BLACK CAT/FELICIA HA
"WATSON-PARKER, MARY","PARKER, MAY"
"WATSON-PARKER, MARY",HYPERTRON II/STURDEV
"WATSON-PARKER, MARY",HYPERTRON/CHESTER
HYPERTRON/CHESTER,"PARKER, MAY"
HYPERTRON/CHESTER,HYPERTRON II/STURDEV
HYPERTRON II/STURDEV,"PARKER, MAY"
"URICH, BEN","URICH, DORIS"
"URICH, BEN","WATSON-PARKER, MARY"
"URICH, BEN","DUVALL, SNAKY"
"URICH, BEN",MAN-MOUNTAIN MARKO
"URICH, BEN","GALVIN, TOMMY"
"GALVIN, TOMMY","URICH, DORIS"
"GALVIN, TOMMY","WATSON-PARKER, MARY"
"GALVIN, TOMMY","DUVALL, SNAKY"
"GALVIN, TOMMY",MAN-MOUNTAIN MARKO
MAN-MOUNTAIN MARKO,"URICH, DORIS"
MAN-MOUNTAIN MARKO,"WATSON-PARKER, MARY"
MAN-MOUNTAIN MARKO,"DUVALL, SNAKY"
