English_Name,Chinese_Name,Gender,Alignment,Power_Type,Detailed_Power,MCU_Presence,Movie_Count,Primary_Team,Mentor_CN,Risk_Level,Social_Style,hero,degree_score,betweenness_score,faction_id,Cross_Index,Loyalty_Score
STARFOX/EROS,星狐/厄洛斯,男,正派,神力,永恒族成员，拥有飞行、超强力量、耐力，并能通过接触激发他人愉悦感，影响情绪。,是,1,永恒族,阿贾克,3,魅力型/享乐主义,STARFOX/EROS,0.071072319201995,0.0014730870271749,14,0.775062656641604,0.33771929824561403
SASQUATCH/WALTER LAN,大脚怪/沃尔特·兰,男,正派,变异,可变为巨大、毛茸茸的类人生物，拥有超强力量、耐力和再生能力，能抵御极端环境。,否,0,阿尔法战队,詹姆斯·麦克唐纳·哈德森（守护者）,4,团队核心,SASQUATCH/WALTER LAN,0.0709164588528678,0.0019934210344781,14,0.7476981168611125,0.34725274725274724
"MACTAGGERT, MOIRA KI",莫伊拉·金·麦克塔格特,女,正派,变异,拥有十次生命轮回的能力，每次死亡后会在出生时重生并保留所有记忆，可改变历史走向。,否,0,X战警,查尔斯·泽维尔,7,双重间谍,"MACTAGGERT, MOIRA KI",0.0702930174563591,0.0014585564490765,4,0.8177186499137719,0.2549889135254989
THUNDERBIRD II/JAMES,雷霆鸟二世/詹姆斯·普罗迪,男,正派,变异,拥有超人的力量、速度、耐力、感官和飞行能力，以及强大的能量吸收和释放能力。,否,0,X战警,X教授,4,团队核心,THUNDERBIRD II/JAMES,0.0701371571072319,0.0056706742687714,4,0.8407720861172977,0.24888888888888888
JUBILEE/JUBILATION L,欢欢/朱比莉,女,正派,变异,能够从双手发射出炫目的等离子能量球，产生爆炸和强光，并可通过情绪控制其强度。,否,0,X战警,金刚狼,3,活泼叛逆,JUBILEE/JUBILATION L,0.0699812967581047,0.0052358231853788,4,0.8372375119312758,0.24721603563474387
MEDUSA/MEDUSALITH AM,美杜莎/美杜莎莉丝·阿姆,女,正派,变异,拥有超强力量、速度、耐力，并能通过意念控制头发，使其成为可自由伸缩、强度极高的武器。,否,0,异人族,黑蝠王,4,团队核心,MEDUSA/MEDUSALITH AM,0.0698254364089775,0.0030987390841076,5,0.7773250239693192,0.32142857142857145
BEETLE/ABNER RONALD,甲虫/阿布纳·罗纳德,男,反派,科技,身穿高科技装甲，具备飞行、能量武器、增强力量与防御能力，装甲可变形适应不同战斗环境。,否,0,邪恶大师,无,5,雇佣兵/机会主义者,BEETLE/ABNER RONALD,0.069357855361596,0.0029487052277536,0,0.8145055167527078,0.1797752808988764
KARNAK [INHUMAN],卡尔纳克,男,正派,变异,异人族，拥有超凡的洞察力，能发现任何物体或系统的弱点，并精准攻击使其失效。,是,1,异人族,黑蝠王,3,冷静理性,KARNAK [INHUMAN],0.0692019950124688,0.0030677454390881,5,0.7800825656356131,0.32432432432432434
BLACK BOLT/BLACKANTO,黑蝠王/布莱克·博尔特,男,正派,变异,拥有通过声带释放毁灭性能量的能力，即使轻声细语也能造成巨大破坏，需长期保持沉默。,是,1,异人族皇室,阿贡,8,孤傲,BLACK BOLT/BLACKANTO,0.0690461346633416,0.0030972941369895,5,0.7769935548451018,0.3227990970654628
WONG,王,男,正派,魔法,精通秘术魔法，能开启传送门、制造能量武器、操控元素，是卡玛泰姬的资深法师和图书管理员。,是,约5部,至尊法师/卡玛泰姬,古一,3,沉稳可靠,WONG,0.0688902743142144,0.0057392407064498,14,0.8460717620381486,0.2737556561085973
KINGPIN/WILSON FISK,金并/威尔逊·菲斯克,男,反派,格斗,无超能力，但拥有远超常人的体格、力量、格斗技巧和极高的智力，是纽约地下犯罪帝国的首领。,是,0,无固定阵营，常作为蜘蛛侠、夜魔侠等街头英雄的主要对手。,无,9,控制欲强/幕后操纵者/双重身份,KINGPIN/WILSON FISK,0.0685785536159601,0.0064060918196237,18,0.8689066059225512,0.15454545454545454
GORGON [INHUMAN],戈耳工,男,正派,变异,拥有超强力量和耐力，双脚能引发地震波，是异人族皇室护卫队成员。,否,0,异人族皇室护卫队,黑蝠王,5,忠诚护卫,GORGON [INHUMAN],0.0682668329177057,0.0029576502982744,5,0.7710834561090039,0.3287671232876712
"MASTERS, ALICIA REIS",艾丽西亚·雷斯·马斯特斯,女,反派,科技,通过高科技装备增强体能和战斗技巧，擅长使用先进武器和战术分析，无超自然能力。,否,0,无固定核心阵营,无,3,孤傲,"MASTERS, ALICIA REIS",0.0681109725685785,0.0038510781558322,5,0.7795750845002414,0.17162471395881007
BOOMER/TABITHA SMITH,布姆/塔比莎·史密斯,女,反派,变异,能够从身体释放能量爆炸，通常表现为投掷能量球或制造冲击波，威力可调节。,否,0,地狱火俱乐部,塞巴斯蒂安·肖,4,叛逆,BOOMER/TABITHA SMITH,0.067643391521197,0.005094638348775,4,0.8409446472472621,0.08986175115207373
SCREAMING MIMI/MELIS,尖叫女妖/梅莉斯,女,反派,变异,拥有超强声波攻击能力，可发出破坏性音波，并具备一定格斗技巧和敏捷性。,否,0,邪恶大师,泽莫男爵,5,孤傲,SCREAMING MIMI/MELIS,0.0671758104738154,0.0028532241180764,0,0.8148060216910376,0.1902552204176334
MOONSTONE II/KARLA S,月光石二代/卡拉·索芬,女,反派,宇宙能量,通过月光石获得飞行、能量投射、密度操控、隐形和超强力量，能吸收并释放能量。,否,0,雷霆特工队,诺曼·奥斯本,7,野心勃勃/双重间谍,MOONSTONE II/KARLA S,0.0667082294264339,0.0023387014455035,0,0.8229223664339338,0.17523364485981308
LOKI [ASGARDIAN],洛基,男,反派,魔法/神力,精通阿斯加德魔法，擅长幻术、变形、心灵控制，拥有超强体能和寿命，能使用宇宙魔方等神器。,是,6,无固定阵营（曾短暂领导齐塔瑞军队）,奥丁,9,诡计多端/双重间谍,LOKI [ASGARDIAN],0.0660847880299251,0.0022571814639427,5,0.7857620768098488,0.1792452830188679
SHAMAN/MICHAEL TWOYO,萨满/迈克尔·图约,男,正派,魔法,能够操控自然元素、进行灵魂旅行、施展治疗法术，并拥有强大的精神感知能力。,否,0,阿尔法飞行队,无明确核心导师,4,沉稳内敛,SHAMAN/MICHAEL TWOYO,0.0660847880299251,0.0020569194009906,14,0.7317899995539499,0.375
ODIN [ASGARDIAN],奥丁,男,正派,神力,拥有奥丁之力，可操控宇宙能量、施展强大魔法、预知未来，是阿斯加德的神王。,是,3,阿斯加德,无,8,威严领袖,ODIN [ASGARDIAN],0.0657730673316708,0.0028462282857264,5,0.8012855872386893,0.2677725118483412
BLOB/FRED J. DUKES,肉球/弗雷德·J·杜克斯,男,反派,变异,拥有超强密度和重量，身体几乎无法移动，能吸收冲击并反弹攻击，皮肤极其坚韧。,否,0,变种人兄弟会,万磁王,4,孤傲,BLOB/FRED J. DUKES,0.0657730673316708,0.0022867312232871,4,0.79680516936655,0.15639810426540285
POWER MAN/ERIK JOSTE,神力侠/埃里克·乔斯特,男,反派,变异,拥有超人的力量、耐力和抗击打能力，能举起重物并承受强大冲击。,否,0,无固定核心阵营,无,4,孤傲,POWER MAN/ERIK JOSTE,0.0654613466334164,0.0026238093508091,0,0.8239231730878509,0.1976190476190476
TRITON,特里同,非人类,正派,变异,亚特兰蒂斯人，拥有水下呼吸、超强力量、速度、耐力，以及水下高速移动能力。,否,0,异人族,黑蝠王,3,忠诚护卫,TRITON,0.0653054862842892,0.0022062287632882,5,0.7617590298158066,0.3269689737470167
NORTHSTAR/JEAN-PAUL,北极星/让-保罗·博利尔,男,正派,变异,变种人，能超音速飞行，发射强光，拥有超人类体能和反应速度。,否,0,X战警,X教授,3,孤傲,NORTHSTAR/JEAN-PAUL,0.0653054862842892,0.0028448588837739,14,0.7244064815977892,0.360381861575179
"LEEDS, BETTY BRANT",贝蒂·布兰特·利兹,女,正派,格斗,无超能力，作为记者和蜘蛛侠的盟友，具备调查能力和基础格斗技巧。,否,0,无固定核心阵营,无,1,调查型盟友,"LEEDS, BETTY BRANT",0.064214463840399,0.0059922964422197,18,0.864632792384192,0.17233009708737865
SPIDER-WOMAN II/JULI,蜘蛛女侠II/朱莉,女,正派,变异,拥有蜘蛛感应、超强力量与敏捷、手腕发射生物电蛛丝、爬墙能力，并具备飞行能力。,否,0,复仇者联盟,杰西卡·德鲁,4,团队核心,SPIDER-WOMAN II/JULI,0.0639027431421446,0.0023760564650603,14,0.7844713459359532,0.2634146341463415
ANT-MAN II/SCOTT HAR,蚁人II/斯科特·朗,男,正派,科技,通过皮姆粒子战衣缩小或放大身体，控制蚂蚁，在亚原子尺度穿梭，拥有超强力量和敏捷性。,是,5,复仇者联盟,汉克·皮姆,3,团队核心,ANT-MAN II/SCOTT HAR,0.0637468827930174,0.0021261111193917,5,0.7536195407258258,0.3251833740831296
"URICH, BEN",本·尤里克,男,正派,格斗,无超能力，是经验丰富的调查记者，擅长挖掘真相和揭露腐败，具备出色的调查技巧和坚韧的品格。,否,0,无,无,1,正直坚韧,"URICH, BEN",0.0632793017456359,0.0039741395102882,18,0.8701696770662288,0.16748768472906403
AURORA/JEANNE-MARIE,极光/珍妮-玛丽,女,正派,变异,拥有光速飞行、发射强光、制造光能爆炸和光能护盾的能力，并能通过光能影响他人情绪。,否,0,阿尔法战队,詹姆斯·麦克唐纳·赫德森,4,双重人格,AURORA/JEANNE-MARIE,0.0631234413965087,0.001953891719304,14,0.7106466202175773,0.37777777777777777
"GYRICH, HENRY PETER",亨利·彼得·吉里奇,男,反派,科技,使用先进科技武器和装备，包括能量武器、飞行装置和防护服，无超能力但技术高超。,否,0,九头蛇,红骷髅,6,忠诚执行者,"GYRICH, HENRY PETER",0.0625,0.0055614919688259,0,0.7925935162094763,0.17206982543640897
MIRAGE II/DANIELLE M,幻影二代/丹妮尔·M,女,正派,变异,能够投射逼真的三维全息影像，用于迷惑敌人、制造幻象和战术欺骗，影像具有触感和声音。,否,0,新变种人,幻影（米拉吉·圣约翰）,3,团队合作者,MIRAGE II/DANIELLE M,0.0618765586034912,0.0045959626434807,4,0.8024959926723151,0.28463476070528965
PHOENIX III/RACHEL S,凤凰三/瑞秋·萨默斯,女,正派,宇宙能量,拥有凤凰之力碎片，可操控宇宙能量、心灵感应、预知未来、能量投射及飞行。,否,0,X战警,琴·葛蕾,8,孤傲,PHOENIX III/RACHEL S,0.061720698254364,0.0025054846773378,4,0.7957038741848869,0.2727272727272727
GALACTUS/GALAN,行星吞噬者/加兰,非人类,中立,宇宙能量,拥有宇宙级力量，能吞噬行星能量维持生命，操控物质与能量，创造生命与宇宙实体。,否,0,无固定阵营,无,10,孤傲,GALACTUS/GALAN,0.061720698254364,0.0018917918664078,14,0.7338703490602225,0.045454545454545456
MEPHISTO,墨菲斯托,非人类,反派,魔法,地狱维度领主，拥有强大的魔法、变形、操控灵魂、现实扭曲等能力，几乎不朽。,否,0,地狱领主,无,9,狡诈操纵者,MEPHISTO,0.0614089775561097,0.0032913556896034,5,0.7869570271631727,0.1319796954314721
MYSTIQUE/RAVEN DARKH,魔形女/瑞雯·达克霍姆,女,反派,变异,拥有变形能力，可以完美模仿任何人的外貌、声音和体型，具备超强自愈能力和格斗技巧。,否,约10部,X战警/变种人兄弟会,万磁王,7,双重间谍/孤傲,MYSTIQUE/RAVEN DARKH,0.0614089775561097,0.0019814468010317,4,0.7977680474289921,0.1116751269035533
LOCKJAW [INHUMAN],锁齿狗,非人类,正派,变异,拥有心灵传送能力，能传送自身及他人，体型巨大但性格温顺，是异人族皇室宠物。,是,1,异人族皇室,黑蝠王,2,忠诚伙伴,LOCKJAW [INHUMAN],0.0614089775561097,0.0023042647565637,5,0.7546402138954547,0.3477157360406091
"HUDSON, HEATHER",希瑟·哈德森,女,正派,科技,作为神盾局特工，拥有高级格斗技能、武器使用和战术分析能力，无超自然力量。,否,0,神盾局,尼克·弗瑞,3,忠诚可靠,"HUDSON, HEATHER",0.0612531172069825,0.0027609340412159,14,0.7724853300098665,0.2595419847328244
WHITE QUEEN/EMMA FRO,白皇后/艾玛·弗罗斯特,女,正派/反派,变异,拥有强大的心灵感应能力，能读取思想、控制他人心智、制造心灵幻象，并能将身体转化为钻石形态，增强防御力。,否,0,X战警,查尔斯·泽维尔,7,孤傲/双重间谍,WHITE QUEEN/EMMA FRO,0.0610972568578553,0.0038800476881588,4,0.8187013936009186,0.0
HOGUN [ASGARDIAN],霍根（仙宫战士）,男,正派,神力,拥有阿斯加德人的超人体质，包括超强力量、耐力、寿命和战斗技巧，精通多种武器，尤其是战锤。,是,3,仙宫三勇士,奥丁,4,忠诚战士,HOGUN [ASGARDIAN],0.0610972568578553,0.0020177825996252,5,0.7888720705673573,0.288265306122449
FANDRAL [ASGARDIAN],范达尔（阿斯加德人）,男,正派,神力,作为阿斯加德人，拥有超人的力量、速度、耐力和寿命，精通剑术和格斗技巧。,是,2,仙宫三勇士,奥丁,3,风流倜傥,FANDRAL [ASGARDIAN],0.0610972568578553,0.0020238464042612,5,0.7888981679628373,0.288265306122449
"NORRISS, SISTER BARB",芭芭修女,女,正派,魔法,作为魔法师，她掌握多种魔法，包括能量投射、传送和防御法术，是魔法领域的专家。,否,0,魔法师团体,古一,3,团队核心,"NORRISS, SISTER BARB",0.0604738154613466,0.0013860180582895,14,0.7317989291137217,0.36082474226804123
NIGHT THRASHER/DUANE,夜行侠/杜安,男,正派,格斗,无超能力，依靠高科技装备（如动力装甲、滑板）和精湛的武术进行战斗。,否,0,新勇士,无明确核心导师,4,团队核心,NIGHT THRASHER/DUANE,0.0596945137157107,0.0029782079799248,6,0.8214017196834033,0.2558746736292428
SIF,希芙,女,正派,神力,拥有阿斯加德神族的超强力量、耐力、战斗技巧和长寿，是阿斯加德最杰出的女战士之一。,是,2,阿斯加德,奥丁,3,忠诚战士,SIF,0.0590710723192019,0.0019690238180763,5,0.7833898730996356,0.2691292875989446
SUNFIRE/SHIRO YOSHID,太阳火/志志雄真实,男,正派,变异,能产生并操控等离子体火焰，飞行，吸收太阳能增强能力，免疫高温。,否,0,X战警,X教授,6,孤傲,SUNFIRE/SHIRO YOSHID,0.0589152119700748,0.00452594449892,14,0.7304394200945925,0.3915343915343915
SANDMAN/WILLIAM BAKE,沙人/威廉·贝克,男,反派,变异,身体可转化为沙状物质，随意变形、重组、硬化，控制沙子攻击或防御。,否,0,邪恶六人组,无,7,孤傲,SANDMAN/WILLIAM BAKE,0.0586034912718204,0.0013858491335496,18,0.7859574468085107,0.14627659574468085
DAZZLER II/ALLISON B,炫光女侠II/艾莉森·B,女,正派,变异,能将声波转化为强光、激光等光能形式，用于攻击、防御、照明或制造幻象。,否,0,X战警,X教授,3,团队核心,DAZZLER II/ALLISON B,0.0584476309226932,0.0024001678428946,4,0.7231087344028521,0.368
THANOS,灭霸,非人类,反派,神力/宇宙能量,拥有宇宙级力量、耐力、再生能力，能操控宇宙立方、无限宝石等神器，精通战略与科技。,是,5,黑暗教团,死亡女神,10,孤傲/独裁者,THANOS,0.0576683291770573,0.002174449766603,14,0.7226397128836153,0.1
PHARAOH RAMA-TUT,法老拉玛图特,男,反派,科技,来自31世纪的征服者康的变体，利用未来科技统治古埃及，拥有先进武器和时间旅行能力。,否,0,无固定阵营,无,8,孤傲,PHARAOH RAMA-TUT,0.0575124688279301,0.0028733963923243,14,0.7234741369152822,0.18157181571815717
PUCK/EUGENE MILTON J,帕克/尤金·米尔顿·J,男,正派,变异,因实验获得超强耐力、敏捷和力量，体型矮小但格斗技巧高超，能承受巨大冲击。,否,0,阿尔法战队,无明确核心导师,3,团队合作者,PUCK/EUGENE MILTON J,0.0575124688279301,0.0026199940047099,14,0.7543006951808648,0.2926829268292683
SIRYN/THERESA ROURKE,女妖/特蕾莎·鲁尔克,女,正派,变异,拥有强大的声波操控能力，能发出超声波攻击、制造声波护盾、进行声波飞行和催眠等。,否,0,X战警,X教授,4,团队核心,SIRYN/THERESA ROURKE,0.0568890274314214,0.0045171525171334,4,0.8236037934668072,0.2328767123287671
HELLCAT/PATSY WALKER,地狱猫/帕齐·沃克,女,正派,魔法,通过魔法获得超人类力量、速度、敏捷度、感知力和心灵感应能力，能进行灵魂出窍和附身。,否,0,捍卫者联盟,女巫阿加莎·哈克尼斯,3,双重身份,HELLCAT/PATSY WALKER,0.0567331670822942,0.002002647183138,14,0.7018890200708383,0.35714285714285715
BISHOP /,毕肖普 / 卢卡斯·毕肖普,男,正派,变异,能够吸收并重新定向各种形式的能量，包括动能、热能、电能等，将其转化为自身力量或释放攻击。,否,0,X战警,X教授,5,团队核心,BISHOP /,0.0557980049875311,0.0076893418887699,4,0.783625181916342,0.3016759776536313
SPIDER-MAN CLONE/BEN,蜘蛛侠克隆体/本·莱利,男,正派,变异,拥有与蜘蛛侠彼得·帕克相似的超能力，包括蜘蛛感应、超强力量与敏捷、爬墙能力，并能发射有机蛛丝。,否,0,新勇士,彼得·帕克,3,双重身份,SPIDER-MAN CLONE/BEN,0.0551745635910224,0.00904618071124,18,0.8657191786303036,0.18926553672316385
"HARKNESS, AGATHA",阿加莎·哈克尼斯,女,反派,魔法,精通混沌魔法和古老巫术，能操控能量、变形、精神控制及吸收他人魔法力量。,是,1,无固定阵营,无明确导师,8,伪装欺骗,"HARKNESS, AGATHA",0.0551745635910224,0.0008065351545503,14,0.7161857204590195,0.12994350282485875
BALDER [ASGARDIAN],巴尔德尔,男,正派,神力,拥有超凡的阿斯加德神族力量、耐力、速度与再生能力，是光明与纯净之神，对多数攻击免疫。,否,0,阿斯加德,奥丁,2,光明磊落,BALDER [ASGARDIAN],0.0547069825436409,0.0013130653053445,5,0.7653072853072853,0.2905982905982906
DARKHAWK/CHRIS POWEL,暗鹰/克里斯·鲍威尔,男,正派,科技,通过暗鹰护甲获得飞行、超级力量、能量冲击、隐形和快速自愈能力，并能切换至能量形态。,否,0,新勇士,无明确核心导师,4,孤傲,DARKHAWK/CHRIS POWEL,0.0547069825436409,0.0051048680406773,14,0.7439316239316239,0.3190883190883191
VOLSTAGG,沃斯塔格,男,正派,神力,作为阿斯加德人，拥有远超常人的力量、耐力、寿命和战斗技巧，是仙宫三勇士之一。,是,3,仙宫三勇士/阿斯加德,奥丁,3,忠诚伙伴,VOLSTAGG,0.0543952618453865,0.0016005900887644,5,0.8047294404373744,0.24068767908309455
LIVING LIGHTNING/MIG,活体闪电/米格尔·桑托斯,男,正派,变异,能够将身体转化为电流形态，进行高速移动、飞行、释放电击，并免疫物理攻击。,否,0,复仇者联盟,托尼·斯塔克（钢铁侠）,3,团队核心,LIVING LIGHTNING/MIG,0.0543952618453865,0.0011564428420246,14,0.7206797747258176,0.28939828080229224
"THOMPSON, EUGENE FLA",尤金·“闪电”·汤普森,男,正派,变异,被共生体附身后获得超强力量、速度、敏捷性及自愈能力，并可生成共生体武器。,是,2,复仇者联盟,彼得·帕克（蜘蛛侠）,4,团队核心,"THOMPSON, EUGENE FLA",0.0542394014962593,0.0031559805122184,18,0.8428069826758091,0.16379310344827586
"BANNER, BETTY ROSS T",贝蒂·罗斯·塔尔博特,女,正派,科技,作为科学家，她本身没有超能力，但曾短暂通过伽马辐射实验获得类似女浩克的变身能力。,是,2,美国军方/神盾局相关,布鲁斯·班纳,3,理性支持者,"BANNER, BETTY ROSS T",0.0534600997506234,0.0030097626733352,7,0.7762774282645389,0.3206997084548105
HUMAN TORCH ANDROID/,霹雳火机器人,非人类,反派,科技,拥有与霹雳火相似的火焰能力，包括飞行、火焰投射和高温免疫，但由人工智能控制，缺乏自主意识。,否,0,无固定阵营,无,4,无社交,HUMAN TORCH ANDROID/,0.0533042394014962,0.0019891989641506,2,0.7921146953405018,0.14035087719298245
CITIZEN V II/HELMUT,公民V二世/赫尔穆特,男,反派,科技,使用高科技武器和装甲，包括能量武器、飞行能力和增强体能，无超能力。,否,0,雷霆特工队,泽莫男爵,6,双重间谍,CITIZEN V II/HELMUT,0.0523690773067331,0.0023579364757553,0,0.7953091684434968,0.18452380952380953
LILANDRA NERAMANI [S,莉兰德拉·尼拉玛尼,女,正派,宇宙能量,拥有强大的心灵感应和预知能力，能操控精神能量，作为希阿帝国女皇具备星际领导力。,否,0,X战警/希阿帝国,X教授,7,星际领袖/外交家,LILANDRA NERAMANI [S,0.0520573566084788,0.0014973660730734,4,0.7172501843160526,0.3562874251497006
DOMINO III/BEATRICE/,多米诺三世/碧翠丝,女,正派,变异,拥有概率操控能力，能下意识地影响事件发生的概率，使幸运偏向自己或队友，同时具备出色的战斗技巧。,否,0,X特攻队,死侍,4,冷静务实,DOMINO III/BEATRICE/,0.0519014962593516,0.0030639555475923,4,0.8371142226563913,0.19519519519519518
HIGH EVOLUTIONARY/HE,至高进化/赫伯特·温德姆,男,反派,科技,通过基因工程改造自身和生物，拥有超级智力、再生能力和能量投射能力。,是,1,独立/自创阵营,无明确核心导师,9,孤傲/控制狂,HIGH EVOLUTIONARY/HE,0.0519014962593516,0.0020759647702851,5,0.7586200658489815,0.12612612612612611
"CARTER, PEGGY",佩吉·卡特,女,正派,格斗,无超能力，但拥有卓越的格斗技巧、战略头脑和领导能力，是神盾局创始人之一。,是,4,神盾局,无,2,团队核心,"CARTER, PEGGY",0.0517456359102244,0.0011104963183343,0,0.784224511338405,0.2740963855421687
"KNIGHT, MISTY",米斯蒂·奈特,女,正派,格斗,前纽约警察局警官，无超能力，但精通格斗技巧、枪械使用和侦探技能，拥有机械仿生手臂增强力量。,否,0,捍卫者联盟/夜魔侠盟友,无特定核心导师,3,坚韧独立,"KNIGHT, MISTY",0.0517456359102244,0.0028079351450517,2,0.8207330833909656,0.2740963855421687
JACK OF HEARTS/JACK,红心杰克,男,正派,宇宙能量,能够吸收并释放宇宙能量，飞行，能量爆炸，增强力量，但能量过载时可能失控。,否,0,复仇者联盟,钢铁侠,6,孤傲,JACK OF HEARTS/JACK,0.0515897755610972,0.0016534284315237,14,0.6683145655955324,0.4380664652567976
KA-ZAR/KEVIN PLUNDER,凯-扎尔/凯文·普兰德,男,正派,格斗,无超能力，但拥有卓越的生存技能、丛林战斗技巧和与野兽沟通的能力，常与剑齿虎扎布为伴。,否,0,野蛮之地守护者,无明确导师,3,孤傲,KA-ZAR/KEVIN PLUNDER,0.0512780548628428,0.001217313100503,14,0.7078545481503447,0.41033434650455924
"ROSS, GEN. THADDEUS",撒迪厄斯·“雷霆”·罗斯将军,男,中立/反派,科技/变异,通过科技手段（如反浩克装甲）或血清变异（如红巨人）获得超级力量、耐力与再生能力。,是,4,美国军方/雷霆特工队,无明确核心导师,7,强硬/固执/军方权威,"ROSS, GEN. THADDEUS",0.0511221945137157,0.0024395023818478,7,0.7689080331170284,0.0
DARKSTAR/LAYNIA SERG,暗星/莱妮亚·瑟格,女,反派,宇宙能量,能够操控暗能量，制造黑暗领域、能量爆炸和传送，并能吸收光线和能量攻击。,否,0,苏联超级士兵团队（如Winter Guard等）,红卫兵,6,孤傲,DARKSTAR/LAYNIA SERG,0.0511221945137157,0.0006169350774625,0,0.6424255985679123,0.17378048780487804
LOCKHEED,洛克希德,非人类,正派,变异,小型紫色外星龙，能飞行、喷火、隐形，智力高，会说英语，是X战警成员凯蒂·普莱德的宠物和伙伴。,否,0,X战警,凯蒂·普莱德（幻影猫）,3,忠诚伙伴,LOCKHEED,0.0503428927680798,0.0005568872458014,4,0.7392842720612272,0.30959752321981426
STRONG GUY/GUIDO CAR,壮汉/圭多·卡,男,正派,变异,拥有超强力量和耐力，能将受到的动能冲击转化为肌肉质量，体型随战斗增强。,否,0,X因子,X教授,4,团队核心,STRONG GUY/GUIDO CAR,0.0501870324189526,0.0006096599018062,14,0.6827073779532129,0.3167701863354037
"OSBORN, LIZ ALLAN",莉兹·艾伦·奥斯本,女,中立,格斗,无超能力，但具备出色的商业头脑、领导能力和格斗技巧，作为企业家和母亲活跃。,否,0,奥斯本家族/无核心团队,诺曼·奥斯本,3,坚韧独立,"OSBORN, LIZ ALLAN",0.0498753117206982,0.0029853649288477,18,0.8234326018808777,0.028125
ENCHANTRESS/AMORA/HE,魅惑女巫/阿莫拉,女,反派,魔法,强大的魔法师，擅长魅惑、幻术、能量投射和飞行，寿命极长，精通多种黑魔法。,否,0,无固定核心阵营（常作为独立反派或与洛基等合作）,无明确核心导师,7,孤傲/操纵者,ENCHANTRESS/AMORA/HE,0.0495635910224438,0.0011557483831768,5,0.7277344602503819,0.20754716981132076
ETERNITY/ADAM QADMON,永恒/亚当·卡德蒙,非人类,中立,宇宙能量,作为宇宙实体，代表整个漫威宇宙的时间与空间，拥有近乎无限的宇宙级力量，能操控现实、时间、空间和生命。,是,1,宇宙实体,无,10,孤傲,ETERNITY/ADAM QADMON,0.0492518703241895,0.0006626720769445,14,0.6541089009443439,0.05063291139240506
MEGGAN,梅根,女,正派,魔法,拥有强大的魔法能力，能与自然元素沟通，可变形、飞行、能量投射，并能感知和影响他人情绪。,否,0,英国队长军团,梅林,4,温和共情,MEGGAN,0.0490960099750623,0.0007967686695907,4,0.7748458194318066,0.3047619047619048
RHINO,犀牛人,男,反派,科技,身穿重型犀牛装甲，拥有超人的力量、耐力、速度和防御力，能发起强力冲锋攻击。,否,0,邪恶六人组,章鱼博士,6,暴躁易怒,RHINO,0.0483167082294264,0.0026595165417894,18,0.7679298465393047,0.18064516129032257
MULTIPLE MAN/JAMES A,分身人/詹姆斯·亚瑟·马多克斯,男,正派,变异,能够通过意念制造出多个物理实体分身，每个分身拥有独立意识但共享记忆与经验，分身消失后经验回归本体。,否,0,X因子,X教授,3,团队合作者,MULTIPLE MAN/JAMES A,0.0481608478802992,0.0008805093259632,4,0.6821123859958811,0.3365695792880259
DOC SAMSON/DR. LEONA,萨姆森博士/莱昂娜博士,女,正派,变异,通过伽马辐射获得超强力量、耐力、再生能力和绿色长发，能控制伽马能量。,否,0,复仇者联盟,布鲁斯·班纳（浩克）,4,理性冷静,DOC SAMSON/DR. LEONA,0.0472256857855361,0.0013088954755693,7,0.6796057089152624,0.3927392739273927
GUARDIAN/JAMES MACDO,守护者/詹姆斯·麦克唐纳,男,正派,科技,穿着高科技动力装甲，具备飞行、能量护盾、超级力量、能量冲击波等能力，装甲提供生命维持和战术分析功能。,否,0,阿尔法飞行队,无明确核心导师,3,团队核心,GUARDIAN/JAMES MACDO,0.0472256857855361,0.0012371084312311,14,0.6793652875221297,0.42574257425742573
NOVA II/FRANKIE RAYE,新星二代/弗兰基·雷,女,正派,宇宙能量,通过新星头盔获得宇宙能量，可飞行、发射能量冲击、增强力量与耐力，并能在太空生存。,否,0,新星军团,理查德·赖德（新星一代）,5,团队合作者,NOVA II/FRANKIE RAYE,0.0469139650872817,0.0007851949828793,14,0.6550387596899225,0.3754152823920266
"JAMESON, COL. JOHN",约翰·詹姆森上校,男,正派,变异,通过实验获得超强力量、耐力、飞行能力，但受月光影响会变成狼人形态。,否,0,美国陆军/神盾局,无明确核心导师,4,军人作风/责任感强,"JAMESON, COL. JOHN",0.0469139650872817,0.0020733400325629,18,0.8133111849390919,0.22591362126245848
CYPHER/DOUG RAMSEY,密码/道格·拉姆齐,男,正派,变异,天生能理解所有语言（包括人类语言、计算机代码、外星语言等），并能快速分析复杂信息。,否,0,X战警,X教授,2,内向学者,CYPHER/DOUG RAMSEY,0.0469139650872817,0.0009014455476979,4,0.7145736434108527,0.3554817275747508
BLACK CAT/FELICIA HA,黑猫/费莉西亚·哈代,女,中立,变异,通过实验获得增强的敏捷性、平衡感、反应速度和运气，擅长格斗与盗窃技巧。,否,0,无固定核心阵营，常与蜘蛛侠或反英雄合作,无明确核心导师,4,亦正亦邪/独立行动者,BLACK CAT/FELICIA HA,0.0467581047381546,0.0026692713685965,18,0.7379933110367893,0.03666666666666667
